title,games,urls
Startolj rá!,"Auchan x LEGO - F1 nyereményjáték, (07.17.), REGIO Játék - Bburago, Maisto Formula 1, (07.20.), E-sorsjegy Extra, (07.20.), Júliusi Eurojackpot akció, (07.20.), (új), Aldi -  Aqua Minera, (07.20.), (új), Frei Sparkling Coffee, (07.22.), Auchan (American Tourister), (07.23.), ALDI - Maggi, (07.23.)","['/auchan-x-lego-f1-nyeremenyjatek', '/regio-jatek-bburago-maisto-formula-1-nyeremenyjatek', '/e-sorsjegy-extra-nyeremenyjatek', '/juliusi-eurojackpot-akcio', '/aldi-aqua-minera-nyeremenyjatek', '/frei-sparkling-coffee-nyeremenyjatek', '/auchan-american-tourister-nyeremenyjatek', '/aldi-maggi-nyeremenyjatek']"
Utoljára frissített,"Auchan - Powerade, (új), Staropramen, (új), Malibu, (új), P&G, (új), Lay's - Penny, (új), Aldi -  Aqua Minera, (új), Ecofamily, Tanqueray, Johnnie Walker, Don Julio, (új), Júliusi Eurojackpot akció, (új), Puella, (új)","['/auchan-powerade-nyeremenyjatek', '/staropramen-nyeremenyjatek', '/malibu-nyeremenyjatek', '/pg-nyeremenyjatek', '/lays-penny-nyeremenyjatek', '/aldi-aqua-minera-nyeremenyjatek', '/ecofamily-nyeremenyjatek', '/tanqueray-johnnie-walker-don-julio-nyeremenyjatek', '/juliusi-eurojackpot-akcio', '/puella-nyeremenyjatek']"
Nyerj műszaki cikket!,"GoPro Hero 13 Black, Senheiser HD 450 BT fejhallgató","['/tuc-nyeremenyjatek', '/topjoy-app-nyeremenyjatek']"
Nyerj F1 belépőt!,"Abu-Dzabi F1, (új), MotoGP magyar nagydíjra, Páros belépő az F1 Magyar nagydíjra, 4 fős","['/shell-nyeremenyjatek', '/monster-nyeremenyjatek', '/auchan-x-lego-f1-nyeremenyjatek', '/regio-jatek-bburago-maisto-formula-1-nyeremenyjatek']"
Ital,"Staropramen, (új), Malibu, (új), Tanqueray, Johnnie Walker, Don Julio, (új), Jim Beam, (új), Monster, Mizo Coffee Selection, Burn, Almdudler, Topjoy App, Gösser, Frei Sparkling Coffee, Coca-Cola (vendéglátóhelyeken), Burn, XIXO, Vöslauer, Coors, Dreher, Soproni, Lipton Ice Tea, Nescafé Dolce Gusto, Tatratea, Fuze Tea, Coca-Cola","['/staropramen-nyeremenyjatek', '/malibu-nyeremenyjatek', '/tanqueray-johnnie-walker-don-julio-nyeremenyjatek', '/jim-beam-nyeremenyjatek', '/monster-nyeremenyjatek', '/mizo-coffee-selection-nyeremenyjatek', '/burn-energiaital-nyeremenyjatek', '/almdudler-nyeremenyjatek', '/topjoy-app-nyeremenyjatek', '/gosser-nyeremenyjatek', '/frei-sparkling-coffee-nyeremenyjatek', '/coca-cola-nyeremenyjatek-vendeglatohelyeken', '/burn-nyeremenyjatek', '/xixo-nyeremenyjatek', '/voslauer-nyeremenyjatek', '/coors-nyeremenyjatek', '/dreher-nyeremenyjatek', '/soproni-nyeremenyjatek', '/lipton-ice-tea-nyeremenyjatek', '/nescafe-dolce-gusto-nyeremenyjatek', '/tatratea-nyeremenyjatek', '/fuze-tea-nyeremenyjatek', '/coca-cola-nyeremenyjatek']"
Különleges nyeremények,"Valmar meet & greet, Batz x Daalarna cipő, Dunai élményhajózás, 1 millió Ft értékű buli, Formula-1 Abu-Dhabi Nagydíj","['/burger-king-nyeremenyjatek', '/voslauer-nyeremenyjatek', '/dreher-nyeremenyjatek', '/soproni-nyeremenyjatek', '/dewalt-x-mclaren-nyeremenyjatek']"
Nyerj pénzt!,"20 000 000 Ft, (új), 10 000 000 Ft, 10 000 000 Ft, 5 000 000 Ft, 1 000 000 Ft, 1 000 000 Ft, 20 000 000 Ft, 2 000 000 Ft, 10 000 000 Ft","['/juliusi-eurojackpot-akcio', '/e-sorsjegy-extra-nyeremenyjatek', '/xixo-nyeremenyjatek', '/magnum-nyeremenyjatek', '/simple-bit-nyeremenyjatek', '/sodastream-12-patroncsere-jatek', '/jatekoskartya-nyeremenyjatek', '/unilever-grill-globus-hellmanns-nyeremenyjatek', '/simons-burger-nyeremenyjatek']"
Nyerj háztartási gépet!,"P&G, (új), Rowenta robotporszívó, Gázgrill, gömbgrill, asztali grill, Grillsütő, gömbgrill, Samsung AI mosógép, Philips OneBlade Pro 360, Rowenta robotporszívó, SMEG hűtőszekrény","['/pg-nyeremenyjatek', '/fressnapf-purina-felix-nyeremenyjatek', '/chimax-nyeremenyjatek', '/almdudler-nyeremenyjatek', '/tesco-coccolino-nyeremenyjatek', '/cinema-city-nyeremenyjatek', '/nescafe-dolce-gusto-nyeremenyjatek', '/pottyos-nyeremenyjatek']"
Nyerj tabletet!,iPad,['/mizo-coffee-selection-nyeremenyjatek']
Nyerj okosórát!,Apple Watch SE,['/tatratea-nyeremenyjatek']
